No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2 ,Jitter,,,
288,"6,610,508",,"6,610,508","6,610,630",122,,19,103,84,,,
289,"6,610,630",,"6,610,630","6,610,733",103,,-152,255,407,,,
290,"6,610,733",,"6,610,733","6,610,988",255,,254,1,-253,,,
291,"6,610,988",,"6,610,988","6,610,989",1,,0,1,1,,,
292,"6,610,989",,"6,610,989","6,610,990",1,,0,1,1,,,
293,"6,610,990",,"6,610,990","6,610,991",1,,0,1,1,,,
294,"6,610,991",,"6,610,991","6,610,992",1,,0,1,1,,,
295,"6,610,992",,"6,610,992","6,610,993",1,,-327,328,655,,,
296,"6,610,993",,"6,610,993","6,611,321",328,,211,117,-94,,,
297,"6,611,321",,"6,611,321","6,611,438",117,,-158,275,433,,,
298,"6,611,438",,"6,611,438","6,611,713",275,,274,1,-273,,,
299,"6,611,713",,"6,611,713","6,611,714",1,,0,1,1,,,
300,"6,611,714",,"6,611,714","6,611,715",1,,-37,38,75,,,
301,"6,611,715",,"6,611,715","6,611,753",38,,-66,104,170,,,
302,"6,611,753",,"6,611,753","6,611,857",104,,-27,131,158,,,
303,"6,611,857",,"6,611,857","6,611,988",131,,79,52,-27,,,
304,"6,611,988",,"6,611,988","6,612,040",52,,51,1,-50,,,
305,"6,612,040",,"6,612,040","6,612,041",1,,0,1,1,,,
306,"6,612,041",,"6,612,041","6,612,042",1,,-47,48,95,,,
307,"6,612,042",,"6,612,042","6,612,090",48,,-294,342,636,,,
308,"6,612,090",,"6,612,090","6,612,432",342,,340,2,-338,,,
309,"6,612,432",,"6,612,432","6,612,434",2,,-542,544,1086,,,
310,"6,612,434",,"6,612,434","6,612,978",544,,542,2,-540,,,
311,"6,612,978",,"6,612,978","6,612,980",2,,1,1,0,,,
312,"6,612,980",,"6,612,980","6,612,981",1,,-553,554,1107,,,
313,"6,612,981",,"6,612,981","6,613,535",554,,-14245,14799,29044,,,
314,"6,613,535",,"6,613,535","6,628,334","14,799",,7101,7698,597,,,
315,"6,628,334",,"6,628,334","6,636,032","7,698",,7697,1,-7696,,,
316,"6,636,032",,"6,636,032","6,636,033",1,,-383,384,767,,,
317,"6,636,033",,"6,636,033","6,636,417",384,,382,2,-380,,,
318,"6,636,417",,"6,636,417","6,636,419",2,,1,1,0,,,
319,"6,636,419",,"6,636,419","6,636,420",1,,-342,343,685,,,
320,"6,636,420",,"6,636,420","6,636,763",343,,342,1,-341,,,
321,"6,636,763",,"6,636,763","6,636,764",1,,0,1,1,,,
322,"6,636,764",,"6,636,764","6,636,765",1,,-908,909,1817,,,
323,"6,636,765",,"6,636,765","6,637,674",909,,908,1,-907,,,
324,"6,637,674",,"6,637,674","6,637,675",1,,-3,4,7,,,
325,"6,637,675",,"6,637,675","6,637,679",4,,-250,254,504,,,
326,"6,637,679",,"6,637,679","6,637,933",254,,36,218,182,,,
327,"6,637,933",,"6,637,933","6,638,151",218,,-142,360,502,,,
328,"6,638,151",,"6,638,151","6,638,511",360,,359,1,-358,,,
329,"6,638,511",,"6,638,511","6,638,512",1,,0,1,1,,,
330,"6,638,512",,"6,638,512","6,638,513",1,,0,1,1,,,
331,"6,638,513",,"6,638,513","6,638,514",1,,-319,320,639,,,
332,"6,638,514",,"6,638,514","6,638,834",320,,-21294,21614,42908,,,
333,"6,638,834",,"6,638,834","6,660,448","21,614",,1208,20406,19198,,,
334,"6,660,448",,"6,660,448","6,680,854","20,406",,20405,1,-20404,,,
335,"6,680,854",,"6,680,854","6,680,855",1,,-353,354,707,,,
336,"6,680,855",,"6,680,855","6,681,209",354,,110,244,134,,,
337,"6,681,209",,"6,681,209","6,681,453",244,,-2263,2507,4770,,,
338,"6,681,453",,"6,681,453","6,683,960","2,507",,2506,1,-2505,,,
339,"6,683,960",,"6,683,960","6,683,961",1,,0,1,1,,,
340,"6,683,961",,"6,683,961","6,683,962",1,,-358,359,717,,,
341,"6,683,962",,"6,683,962","6,684,321",359,,208,151,-57,,,
342,"6,684,321",,"6,684,321","6,684,472",151,,66,85,19,,,
343,"6,684,472",,"6,684,472","6,684,557",85,,84,1,-83,,,
344,"6,684,557",,"6,684,557","6,684,558",1,,-155,156,311,,,
345,"6,684,558",,"6,684,558","6,684,714",156,,44,112,68,,,
346,"6,684,714",,"6,684,714","6,684,826",112,,-78,190,268,,,
347,"6,684,826",,"6,684,826","6,685,016",190,,-401,591,992,,,
348,"6,685,016",,"6,685,016","6,685,607",591,,590,1,-589,,,
349,"6,685,607",,"6,685,607","6,685,608",1,,-202,203,405,,,
350,"6,685,608",,"6,685,608","6,685,811",203,,68,135,67,,,
351,"6,685,811",,"6,685,811","6,685,946",135,,-128190,128325,256515,,,
352,"6,685,946",,"6,685,946","6,814,271","128,325",,128320,5,-128315,,,
353,"6,814,271",,"6,814,271","6,814,276",5,,4,1,-3,,,
354,"6,814,276",,"6,814,276","6,814,277",1,,0,1,1,,,
355,"6,814,277",,"6,814,277","6,814,278",1,,0,1,1,,,
356,"6,814,278",,"6,814,278","6,814,279",1,,0,1,1,,,
357,"6,814,279",,"6,814,279","6,814,280",1,,0,1,1,,,
358,"6,814,280",,"6,814,280","6,814,281",1,,1,0,-1,,,
359,"6,814,281",,"6,814,281","6,814,281",0,,-1,1,2,,,
360,"6,814,281",,"6,814,281","6,814,282",1,,0,1,1,,,
361,"6,814,282",,"6,814,282","6,814,283",1,,-538,539,1077,,,
362,"6,814,283",,"6,814,283","6,814,822",539,,408,131,-277,,,
363,"6,814,822",,"6,814,822","6,814,953",131,,43,88,45,,,
364,"6,814,953",,"6,814,953","6,815,041",88,,-8,96,104,,,
365,"6,815,041",,"6,815,041","6,815,137",96,,-29182,29278,58460,,,
366,"6,815,137",,"6,815,137","6,844,415","29,278",,29277,1,-29276,,,
367,"6,844,415",,"6,844,415","6,844,416",1,,-125,126,251,,,
368,"6,844,416",,"6,844,416","6,844,542",126,,125,1,-124,,,
369,"6,844,542",,"6,844,542","6,844,543",1,,-243,244,487,,,
370,"6,844,543",,"6,844,543","6,844,787",244,,95,149,54,,,
371,"6,844,787",,"6,844,787","6,844,936",149,,-336,485,821,,,
372,"6,844,936",,"6,844,936","6,845,421",485,,483,2,-481,,,
373,"6,845,421",,"6,845,421","6,845,423",2,,0,2,2,,,
374,"6,845,423",,"6,845,423","6,845,425",2,,1,1,0,,,
375,"6,845,425",,"6,845,425","6,845,426",1,,-181,182,363,,,
376,"6,845,426",,"6,845,426","6,845,608",182,,63,119,56,,,
377,"6,845,608",,"6,845,608","6,845,727",119,,1,118,117,,,
